gen,nevals,min,avg
0,20,9,84.8
1,17,11,148.35
2,18,11,183.5
3,14,109,173.6
4,16,13,168.55
5,17,12,207.6
6,14,111,236.95
7,20,110,246.6
8,13,207,280.8
9,19,206,280.6
10,18,206,280.55
11,17,205,270.55
12,19,205,255.9
13,20,107,265.85
14,18,205,271.0
15,18,205,265.8
16,19,205,270.75
17,15,207,295.4
18,17,207,290.4
19,17,207,300.25
20,18,304,305.75
21,18,206,291.0
22,17,210,301.4
23,14,11,276.9
24,18,208,282.1
25,20,206,286.7
26,17,108,276.55
27,18,207,296.35
28,20,205,276.45
29,16,205,290.95
30,17,205,275.85
